,manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_type,body_type,price_usd
31,Subaru,Legacy,automatic,black,299000,1994,gasoline,universal,650
32,Subaru,Impreza,mechanical,violet,340000,1993,gasoline,universal,2000
33,Subaru,Legacy,mechanical,black,123456,1991,gasoline,sedan,800
34,Subaru,Impreza,mechanical,silver,118000,2011,gasoline,sedan,14950
35,Subaru,Impreza,automatic,black,246113,2008,gasoline,hatchback,5350
36,Subaru,Outback,automatic,green,128748,2016,gasoline,universal,17059
37,Subaru,Legacy,mechanical,red,100000,1994,gasoline,sedan,1700
38,Subaru,Outback,automatic,blue,342790,1999,gasoline,universal,3500
39,Subaru,Forester,mechanical,silver,390000,1997,gasoline,suv,3000
40,Subaru,Forester,automatic,black,215000,2008,gasoline,universal,8100
41,Subaru,Outback,mechanical,grey,288500,2006,gasoline,universal,8500
42,Subaru,Tribeca,automatic,grey,225000,2005,gasoline,suv,7500
43,Subaru,Outback,automatic,green,310000,2001,gasoline,liftback,3300
44,Subaru,Forester,automatic,white,121000,2014,gasoline,suv,14950
45,Subaru,Forester,automatic,blue,242000,2003,gasoline,suv,4490
46,Subaru,Outback,mechanical,green,286,1998,gasoline,universal,2650
47,Subaru,Legacy,automatic,grey,209000,2007,gasoline,sedan,6950
48,Subaru,Legacy,mechanical,silver,195000,2006,gasoline,sedan,8200
49,Subaru,Outback,automatic,black,126705,2014,gasoline,universal,16500
50,Subaru,Outback,automatic,other,164153,2008,gasoline,universal,8500
51,Subaru,Impreza,mechanical,blue,143000,2009,gasoline,hatchback,6450
52,Subaru,Outback,mechanical,white,463491,2002,gasoline,universal,3150
53,Subaru,Legacy,mechanical,green,321869,1998,gasoline,universal,1900
54,Subaru,Legacy,mechanical,other,250000,2005,gasoline,sedan,4899
55,Subaru,Forester,mechanical,black,260000,1999,gasoline,universal,2500
56,Subaru,Forester,mechanical,green,300000,1999,gasoline,suv,1700
57,Subaru,Forester,automatic,red,358047,1999,gasoline,universal,1800
58,Subaru,Forester,mechanical,blue,296000,2003,gasoline,universal,6150
59,Subaru,XV,automatic,orange,183000,2012,gasoline,suv,12900
60,Subaru,Legacy,automatic,red,116000,2010,gasoline,sedan,7250
61,Subaru,Legacy,mechanical,blue,450000,1995,gasoline,universal,900
62,Subaru,Outback,automatic,brown,180000,2008,gasoline,universal,9400
63,Subaru,Forester,mechanical,black,343455,2001,gasoline,universal,3300
64,Subaru,Legacy,automatic,white,202777,2009,gasoline,sedan,8200
65,Subaru,Forester,automatic,black,230000,2001,gasoline,suv,4200
66,Subaru,Justy,mechanical,red,80000,1992,gasoline,hatchback,2100
67,Subaru,Legacy,automatic,green,408263,1999,gasoline,universal,1499
68,Subaru,Outback,automatic,black,193,2010,gasoline,universal,9800
69,Subaru,Legacy,automatic,silver,300000,1998,gasoline,universal,2500
70,Subaru,Outback,mechanical,green,285000,2001,gasoline,universal,3650
71,Subaru,Impreza,mechanical,red,363500,1994,gasoline,universal,1400
72,Subaru,Legacy,mechanical,silver,127138,2005,gasoline,sedan,5400
73,Subaru,XV,automatic,grey,88000,2014,gasoline,suv,12950
74,Subaru,Forester,automatic,black,128000,2012,gasoline,suv,15490
75,Subaru,Outback,automatic,blue,177000,2010,gasoline,universal,13500
76,Subaru,Forester,mechanical,silver,350000,2000,gasoline,universal,2000
77,Subaru,Forester,mechanical,grey,173000,2005,gasoline,suv,7500
78,Subaru,Forester,automatic,blue,280000,2004,gasoline,suv,5800
79,Subaru,Forester,mechanical,green,270000,1998,gasoline,suv,2750
80,Subaru,Outback,automatic,other,310000,1996,gasoline,universal,3299
81,Subaru,Legacy,mechanical,green,450000,1996,gasoline,universal,1400
82,Subaru,Tribeca,automatic,blue,179000,2008,gasoline,suv,9900
83,Subaru,Forester,automatic,silver,175000,2013,gasoline,universal,15900
84,Subaru,Impreza,mechanical,blue,130000,2008,gasoline,hatchback,13500
85,Subaru,Forester,automatic,silver,305000,1999,gasoline,suv,3750
86,Subaru,Legacy,automatic,silver,294000,1999,gasoline,universal,3400
87,Subaru,Outback,mechanical,violet,353000,2000,gasoline,universal,4250
88,Subaru,Forester,mechanical,black,400000,2003,gasoline,universal,5500
89,Subaru,Impreza,mechanical,green,329786,2001,gasoline,universal,4100
90,Subaru,Impreza,mechanical,red,230000,2003,gasoline,universal,7000
91,Subaru,Forester,mechanical,blue,160000,2010,gasoline,suv,12600
92,Subaru,Tribeca,automatic,yellow,279000,2008,gasoline,suv,5400
93,Subaru,Impreza,automatic,silver,80000,2016,gasoline,sedan,14500
94,Subaru,Legacy,automatic,blue,394289,2002,gasoline,universal,3900
95,Subaru,Outback,automatic,blue,256000,2012,gasoline,universal,14227
96,Subaru,Outback,automatic,silver,160000,2011,gasoline,suv,17000
97,Subaru,Forester,mechanical,black,218000,1997,gasoline,suv,3750
98,Subaru,Forester,automatic,silver,273588,2006,gasoline,universal,6000
99,Subaru,Forester,mechanical,black,103975,2011,gasoline,suv,15500
100,Subaru,Legacy,mechanical,blue,330000,1995,gasoline,sedan,1900
101,Subaru,Impreza,automatic,black,205328,2008,gasoline,hatchback,6499
102,Subaru,Outback,automatic,blue,353624,2001,gasoline,universal,5250
103,Subaru,Justy,mechanical,silver,170000,2008,gasoline,minivan,5199
104,Subaru,Outback,automatic,other,370000,2004,gasoline,universal,6000
105,Subaru,Forester,automatic,black,233000,2000,gasoline,universal,6800
106,Subaru,Impreza,mechanical,green,354056,1998,gasoline,universal,1900
107,Subaru,Forester,automatic,black,160000,2010,gasoline,suv,8650
108,Subaru,Legacy,mechanical,silver,295000,1996,gasoline,universal,1565
109,Subaru,Outback,automatic,grey,100000,2012,gasoline,universal,16300
110,Subaru,Impreza,mechanical,green,180000,1998,gasoline,sedan,6900
111,Subaru,Outback,automatic,green,60000,2001,gasoline,universal,2900
112,Subaru,Legacy,mechanical,silver,185075,2003,gasoline,sedan,7000
113,Subaru,Outback,automatic,blue,405555,2001,gasoline,universal,4990
114,Subaru,Impreza,mechanical,other,185000,2008,gasoline,sedan,6300
115,Subaru,Legacy,automatic,red,152888,2009,gasoline,sedan,11000
116,Subaru,Impreza,mechanical,silver,193000,2009,gasoline,hatchback,7000
117,Subaru,Forester,mechanical,green,197,1999,gasoline,universal,3000
118,Subaru,Forester,automatic,blue,162544,2010,gasoline,suv,9700
119,Subaru,Forester,mechanical,blue,46671,2017,gasoline,suv,8790
120,Subaru,Outback,automatic,red,56800,2015,gasoline,universal,23400
121,Subaru,Legacy,automatic,black,260000,2007,gasoline,sedan,6800
122,Subaru,Justy,mechanical,black,150000,2010,gasoline,hatchback,6450
123,Subaru,Legacy,automatic,green,334567,1992,gasoline,universal,1600
124,Subaru,Leone,mechanical,blue,350000,1987,gasoline,universal,1500
125,Subaru,Legacy,mechanical,silver,388000,1996,gasoline,universal,2300
126,Subaru,Justy,mechanical,silver,96370,2009,gasoline,hatchback,5500
127,Subaru,Legacy,automatic,grey,300000,2007,gasoline,universal,5999
128,Subaru,Impreza,automatic,white,280000,2007,gasoline,sedan,9000
129,Subaru,WRX,automatic,white,69500,2014,gasoline,sedan,24900
130,Subaru,Outback,automatic,white,237000,2004,gasoline,universal,6150
131,Subaru,Forester,automatic,silver,289740,2001,gasoline,universal,4200
132,Subaru,Legacy,automatic,silver,164000,2001,gasoline,sedan,3700
133,Subaru,Impreza,automatic,red,280000,1997,gasoline,sedan,1500
134,Subaru,XV,automatic,grey,95000,2012,gasoline,suv,12999
135,Subaru,Impreza,automatic,grey,95000,2012,gasoline,hatchback,12999
136,Subaru,Forester,mechanical,grey,193000,2008,diesel,suv,9481
137,Subaru,Legacy,mechanical,black,225000,2006,gasoline,sedan,6800
138,Subaru,Outback,automatic,silver,306000,2007,gasoline,universal,7700
139,Subaru,Outback,automatic,black,362102,1997,gasoline,universal,2800
140,Subaru,Forester,automatic,white,80467,2015,gasoline,suv,22850
141,Subaru,Forester,automatic,white,300000,1998,gasoline,universal,4990
142,Subaru,Legacy,automatic,silver,270370,2006,gasoline,sedan,7000
143,Subaru,XV,automatic,red,100000,2012,gasoline,suv,14000
144,Subaru,Impreza,mechanical,white,236000,1999,gasoline,universal,3599
145,Subaru,Legacy,automatic,blue,350000,2004,gasoline,sedan,4500
146,Subaru,Outback,automatic,other,370149,1996,gasoline,universal,3290
147,Subaru,Forester,automatic,green,330000,1998,gasoline,universal,4200
148,Subaru,Tribeca,automatic,grey,252000,2007,gasoline,suv,8200
149,Subaru,Legacy,mechanical,other,343444,1996,gasoline,universal,1800
150,Subaru,Legacy,mechanical,green,212000,1994,gasoline,universal,2000
151,Subaru,Outback,automatic,other,50000,2009,gasoline,suv,14300
152,Subaru,Impreza,mechanical,silver,295000,1998,gasoline,sedan,1400
153,Subaru,Forester,automatic,other,116000,2015,gasoline,suv,18900
154,Subaru,Impreza,mechanical,black,182000,2007,gasoline,sedan,5500
155,Subaru,Forester,mechanical,red,226800,2001,gasoline,universal,3799
156,Subaru,Impreza,automatic,white,339572,1997,gasoline,universal,1600
157,Subaru,Tribeca,automatic,other,104000,2012,gasoline,suv,13500
158,Subaru,Outback,automatic,black,187000,2011,gasoline,universal,12300
159,Subaru,Forester,automatic,grey,92300,2012,gasoline,suv,14499
160,Subaru,Forester,automatic,black,135000,2014,gasoline,suv,19500
161,Subaru,XV,mechanical,blue,76000,2015,diesel,hatchback,14000
162,Subaru,XV,mechanical,grey,72000,2014,gasoline,suv,14938
163,Subaru,Tribeca,automatic,blue,35000,2006,gasoline,suv,6600
164,Subaru,Outback,automatic,blue,170000,2010,gasoline,universal,11550
165,Subaru,Forester,mechanical,black,364000,2008,gasoline,universal,9050
166,Subaru,XV,automatic,grey,25480,2014,gasoline,hatchback,19499
167,Subaru,Legacy,mechanical,black,144841,2009,gasoline,sedan,10500
168,Subaru,Legacy,automatic,silver,280000,2004,gasoline,universal,2800
169,Subaru,Outback,automatic,grey,187000,2010,gasoline,universal,11650
170,Subaru,Forester,automatic,other,45250,2016,gasoline,suv,28950
171,Subaru,Forester,automatic,other,80467,2016,gasoline,suv,27950
172,Subaru,Tribeca,automatic,grey,145000,2007,gasoline,suv,10750
173,Subaru,Legacy,automatic,violet,333134,1998,gasoline,sedan,1800
174,Subaru,Outback,automatic,white,175000,2011,gasoline,universal,12200
175,Subaru,Forester,mechanical,black,170000,1999,gasoline,suv,7000
176,Subaru,Impreza,automatic,blue,180000,2007,gasoline,hatchback,6650
177,Subaru,Outback,mechanical,other,292901,2004,gasoline,universal,7100
178,Subaru,Outback,automatic,silver,380000,2005,gasoline,universal,7000
179,Subaru,Outback,automatic,other,328000,2000,gasoline,universal,4000
180,Subaru,Legacy,mechanical,silver,235000,2007,gasoline,sedan,7100
181,Subaru,Legacy,mechanical,green,26500,1994,gasoline,universal,1896
182,Subaru,Legacy,mechanical,blue,273588,2000,gasoline,universal,2950
183,Subaru,Forester,mechanical,silver,221100,2006,gasoline,sedan,5500
184,Subaru,Outback,automatic,black,198242,2005,gasoline,universal,6800
185,Subaru,Outback,mechanical,blue,263105,2005,gasoline,universal,7000
186,Subaru,Forester,automatic,silver,109000,2014,gasoline,universal,17000
187,Subaru,Outback,mechanical,black,350000,2005,gasoline,universal,6200
188,Subaru,Legacy,automatic,green,200000,1998,gasoline,universal,1950
189,Subaru,Forester,automatic,black,193121,2010,gasoline,suv,10499
190,Subaru,Forester,automatic,other,241402,2001,gasoline,universal,4000
191,Subaru,Legacy,mechanical,green,250000,1997,gasoline,universal,2300
192,Subaru,Legacy,automatic,blue,321869,1998,gasoline,sedan,2500
193,Subaru,Legacy,mechanical,silver,239065,2005,gasoline,universal,6900
194,Subaru,Legacy,mechanical,silver,25000,1994,gasoline,universal,800
195,Subaru,Legacy,automatic,white,185000,2010,gasoline,sedan,11990
196,Subaru,Outback,automatic,blue,350000,2002,gasoline,universal,4000
197,Subaru,Forester,automatic,black,198000,2008,gasoline,suv,10150
198,Subaru,Legacy,automatic,black,205000,2006,gasoline,sedan,6200
199,Subaru,Tribeca,automatic,grey,154000,2008,gasoline,suv,8900
200,Subaru,Forester,automatic,white,225308,2008,gasoline,suv,11000
201,Subaru,Libero,mechanical,green,178900,1992,gasoline,minibus,2134
202,Subaru,Forester,automatic,red,176000,2012,gasoline,suv,11300
203,Subaru,Outback,automatic,black,240000,2012,gasoline,universal,15500
204,Subaru,Legacy,automatic,silver,325000,2003,gasoline,sedan,4650
205,Subaru,Tribeca,automatic,white,140000,2007,gasoline,suv,10700
206,Subaru,Legacy,automatic,blue,121000,2008,gasoline,sedan,10300
207,Subaru,Outback,automatic,green,347000,2001,gasoline,universal,3950
208,Subaru,Justy,mechanical,black,122000,2009,gasoline,hatchback,6200
209,Subaru,Impreza,automatic,other,289682,2002,gasoline,universal,3000
210,Subaru,Impreza,mechanical,white,98000,2012,gasoline,sedan,14500
211,Subaru,XV,automatic,silver,93342,2012,gasoline,suv,13800
212,Subaru,Outback,automatic,other,52000,2015,gasoline,suv,35500
213,Subaru,Forester,automatic,silver,199500,2007,gasoline,suv,7300
214,Subaru,Tribeca,automatic,grey,160934,2011,gasoline,suv,14000
215,Subaru,Forester,mechanical,green,344400,1997,gasoline,suv,3414
216,Subaru,Impreza,mechanical,blue,155000,2005,gasoline,sedan,9800
217,Subaru,Impreza,mechanical,blue,97000,2005,gasoline,sedan,8200
218,Subaru,Legacy,mechanical,grey,222089,2008,gasoline,sedan,10100
219,Subaru,Impreza,mechanical,black,190000,2006,gasoline,sedan,11500
220,Subaru,Outback,automatic,other,13000,2018,gasoline,universal,27000
221,Subaru,Legacy,mechanical,red,280000,1990,gasoline,sedan,1500
222,Subaru,Forester,automatic,black,150200,2008,gasoline,suv,8999
223,Subaru,Forester,automatic,green,228527,1999,gasoline,universal,4000
224,Subaru,Outback,automatic,silver,180000,2005,gasoline,universal,6500
225,Subaru,Legacy,mechanical,black,350000,1993,gasoline,sedan,1000
226,Subaru,Outback,mechanical,blue,449007,2001,gasoline,universal,2500
227,Subaru,Outback,automatic,black,241402,2010,gasoline,universal,13400
228,Subaru,Forester,mechanical,blue,453024,2001,gasoline,universal,3000
229,Subaru,Outback,automatic,black,237000,2005,gasoline,universal,7000
230,Subaru,Legacy,automatic,blue,390000,1997,gasoline,universal,2300
231,Subaru,Forester,automatic,grey,305775,2007,gasoline,universal,9600
232,Subaru,Forester,mechanical,red,518209,1999,gasoline,universal,3500
233,Subaru,Impreza,automatic,silver,287000,2003,gasoline,universal,3400
234,Subaru,Forester,mechanical,silver,325000,2006,gasoline,suv,6800
235,Subaru,Forester,automatic,black,390000,2002,gasoline,sedan,4900
236,Subaru,Libero,mechanical,white,300000,1992,gasoline,minivan,800
237,Subaru,Outback,automatic,black,500000,2001,gasoline,universal,3777
238,Subaru,Legacy,mechanical,green,250000,2004,gasoline,sedan,4700
239,Subaru,Forester,automatic,blue,179000,2000,gasoline,universal,3600
240,Subaru,Legacy,automatic,grey,999999,1991,gasoline,universal,400
241,Subaru,Forester,mechanical,green,270000,2008,diesel,suv,10200
242,Subaru,XV,automatic,green,200000,2014,gasoline,hatchback,19500
243,Subaru,Impreza,automatic,green,465000,1998,gasoline,universal,3000
244,Subaru,Outback,automatic,black,298533,2008,gasoline,universal,7900
245,Subaru,Legacy,automatic,silver,300000,1990,gasoline,universal,1150
246,Subaru,Impreza,automatic,grey,138404,2007,gasoline,sedan,6500
247,Subaru,Tribeca,automatic,silver,140000,2008,gasoline,suv,10100
248,Subaru,Forester,mechanical,green,276807,1998,gasoline,suv,2750
249,Subaru,Forester,automatic,white,176000,2011,gasoline,universal,11100
250,Subaru,Legacy,mechanical,blue,140000,2000,gasoline,sedan,3500
251,Subaru,Forester,automatic,blue,160000,2012,gasoline,suv,12350
252,Subaru,Forester,automatic,blue,595457,2001,gasoline,suv,2700
253,Subaru,Impreza,mechanical,silver,58270,2009,gasoline,hatchback,6750
254,Subaru,Impreza,automatic,silver,222000,2008,gasoline,hatchback,8700
255,Subaru,Impreza,mechanical,blue,172000,2006,gasoline,sedan,11000
256,Subaru,Impreza,automatic,silver,274000,2006,gasoline,sedan,11500
257,Subaru,Legacy,mechanical,blue,329916,1999,gasoline,universal,2700
258,Subaru,Legacy,automatic,white,260000,1999,gasoline,sedan,3400
259,Subaru,Outback,mechanical,black,234000,2009,diesel,universal,9950
260,Subaru,Legacy,automatic,other,280000,2004,gasoline,sedan,8500
261,Subaru,Tribeca,automatic,blue,300947,2006,gasoline,suv,5500
262,Subaru,Forester,mechanical,white,280000,1998,gasoline,suv,4850
263,Subaru,Forester,automatic,blue,156000,2008,gasoline,suv,9150
264,Subaru,Outback,mechanical,other,200000,2004,gasoline,universal,7200
265,Subaru,Impreza,mechanical,red,368000,1994,gasoline,sedan,948
266,Subaru,Outback,automatic,silver,299000,2006,gasoline,universal,7000
267,Subaru,Impreza,mechanical,blue,164000,2002,gasoline,sedan,4742
268,Subaru,Forester,automatic,white,140013,2008,gasoline,suv,11000
269,Subaru,Outback,automatic,blue,232000,2010,gasoline,universal,14000
270,Subaru,Tribeca,automatic,grey,257495,2007,gasoline,suv,9900
271,Subaru,Forester,automatic,silver,120000,2009,gasoline,suv,12800
272,Subaru,Outback,automatic,green,304166,1998,gasoline,universal,1850
273,Subaru,Forester,automatic,green,257500,2000,gasoline,universal,3000
274,Subaru,Outback,automatic,other,145000,1999,gasoline,universal,3700
275,Subaru,Forester,automatic,green,265000,2004,gasoline,universal,6700
276,Subaru,Impreza,automatic,grey,142000,2010,gasoline,hatchback,9777
277,Subaru,Outback,automatic,green,260000,2002,gasoline,universal,4700
278,Subaru,Tribeca,automatic,grey,241402,2008,gasoline,suv,10000
279,Subaru,Outback,automatic,black,289682,2004,gasoline,universal,7113
280,Subaru,Legacy,mechanical,red,212997,2001,gasoline,sedan,3800
281,Subaru,Forester,automatic,grey,79000,2015,gasoline,suv,19600
282,Subaru,Legacy,automatic,silver,386243,2002,gasoline,sedan,4300
283,Subaru,Tribeca,automatic,black,237000,2006,gasoline,suv,8600
284,Subaru,Impreza,automatic,silver,215000,2005,gasoline,sedan,3800
285,Subaru,Impreza,mechanical,blue,190000,2006,gasoline,sedan,7100
286,Subaru,Forester,automatic,other,170000,2008,gasoline,suv,9000
287,Subaru,Legacy,mechanical,black,150000,2004,gasoline,sedan,9000
288,Subaru,Forester,automatic,violet,275471,2001,gasoline,universal,4000
289,Subaru,Legacy,automatic,white,225308,2011,gasoline,sedan,12300
290,Subaru,Outback,automatic,green,233355,2010,gasoline,suv,13500
291,LADA,Vesta,automatic,grey,64400,2017,gasoline,sedan,8200
292,LADA,Largus,mechanical,silver,78932,2014,gasoline,universal,7066
293,LADA,Vesta,mechanical,brown,46000,2018,gasoline,universal,10600
294,LADA,Largus,mechanical,black,30500,2017,gasoline,universal,8900
295,LADA,Vesta,automatic,red,35460,2018,gasoline,universal,11450
296,LADA,Vesta,mechanical,red,0,2019,gasoline,universal,12804
297,LADA,XRAY,mechanical,orange,0,2019,gasoline,suv,12928
298,LADA,Vesta,automatic,brown,55378,2018,gasoline,universal,11300
299,LADA,Vesta,automatic,orange,7610,2018,gasoline,universal,12900
300,LADA,Vesta,mechanical,blue,18000,2018,gasoline,universal,12500
301,LADA,Vesta,mechanical,black,75000,2018,gasoline,universal,11450
302,LADA,XRAY,mechanical,brown,40000,2018,gasoline,hatchback,9900
303,LADA,4x4,mechanical,grey,15228,2017,gasoline,suv,6615
304,LADA,XRAY,automatic,other,40000,2017,gasoline,suv,9950
305,LADA,4x4,mechanical,black,9000,2017,gasoline,suv,7499
306,LADA,Priora,mechanical,silver,115000,2008,gasoline,sedan,3000
307,LADA,Priora,mechanical,black,73000,2011,gasoline,hatchback,3800
308,LADA,Vesta,automatic,red,38000,2018,gasoline,universal,12999
309,LADA,Vesta,mechanical,orange,13000,2019,gasoline,universal,13300
310,LADA,Priora,mechanical,white,106600,2015,gasoline,sedan,5200
311,LADA,Priora,mechanical,grey,320552,2008,gasoline,sedan,2850
312,LADA,Vesta,automatic,black,42500,2018,gasoline,universal,11619
313,LADA,Vesta,mechanical,grey,15500,2018,gasoline,universal,10433
314,LADA,Priora,mechanical,silver,76000,2009,gasoline,sedan,3250
315,LADA,4x4,mechanical,blue,110000,2014,gasoline,suv,4850
316,LADA,Vesta,mechanical,white,53000,2017,gasoline,sedan,8300
317,LADA,Vesta,mechanical,silver,25000,2018,gasoline,universal,8800
318,LADA,Largus,mechanical,other,135350,2015,gasoline,van,6500
319,LADA,Vesta,automatic,black,94000,2017,gasoline,sedan,8000
320,LADA,Granta,mechanical,other,43524,2012,gasoline,sedan,5400
321,LADA,111,mechanical,other,256000,1986,gasoline,sedan,420
322,LADA,Granta,mechanical,red,0,2019,gasoline,liftback,7806
323,LADA,XRAY,automatic,red,75000,2017,gasoline,hatchback,8536
324,LADA,4x4,mechanical,blue,131000,2016,gasoline,suv,4900
325,LADA,Vesta,mechanical,brown,49200,2018,gasoline,universal,10700
326,LADA,111,mechanical,red,123456,1977,gasoline,sedan,120
327,LADA,Kalina,mechanical,black,71000,2012,gasoline,hatchback,4400
328,LADA,4x4,mechanical,green,1111,1982,gasoline,suv,1400
329,LADA,Priora,mechanical,silver,170000,2008,gasoline,sedan,3450
330,LADA,Vesta,mechanical,grey,3150,2019,gasoline,sedan,11500
331,LADA,XRAY,automatic,black,2000,2019,gasoline,hatchback,11500
332,LADA,Largus,mechanical,silver,160000,2014,gasoline,van,4000
333,LADA,Vesta,mechanical,grey,15700,2018,gasoline,universal,10907
334,LADA,Kalina,mechanical,other,198500,2006,gasoline,sedan,1290
335,LADA,Kalina,mechanical,grey,19000,2015,gasoline,universal,7000
336,LADA,Kalina,mechanical,black,25997,2017,gasoline,universal,6876
337,LADA,Kalina,mechanical,grey,70000,2015,gasoline,hatchback,4742
338,LADA,Vesta,automatic,red,19800,2017,gasoline,sedan,9250
339,LADA,Priora,mechanical,black,160000,2009,gasoline,hatchback,3300
340,LADA,Kalina,mechanical,silver,94000,2014,gasoline,universal,5000
341,LADA,Largus,mechanical,white,195000,2014,gasoline,van,4000
342,LADA,Granta,mechanical,black,71000,2013,gasoline,sedan,3500
343,LADA,Granta,mechanical,blue,112721,2013,gasoline,sedan,4078
344,LADA,Granta,mechanical,grey,92,2012,gasoline,sedan,3936
345,LADA,Vesta,mechanical,grey,151163,2016,gasoline,sedan,6924
346,LADA,Vesta,mechanical,grey,44000,2018,gasoline,universal,9890
347,LADA,Vesta,mechanical,orange,47000,2018,gasoline,universal,11026
348,LADA,Vesta,automatic,orange,50000,2018,gasoline,hatchback,12000
349,LADA,Vesta,mechanical,black,90000,2016,gasoline,sedan,8500
350,LADA,Largus,mechanical,white,85000,2015,gasoline,universal,7400
351,LADA,111,mechanical,red,359000,1995,gasoline,hatchback,474
352,LADA,Vesta,mechanical,brown,17120,2018,gasoline,universal,10950
353,LADA,XRAY,mechanical,red,17000,2018,gasoline,hatchback,12850
354,LADA,Vesta,mechanical,silver,0,2019,gasoline,sedan,13800
355,LADA,XRAY,mechanical,silver,22500,2018,gasoline,hatchback,10000
356,LADA,Largus,mechanical,grey,200000,2018,gasoline,van,6800
357,LADA,112,mechanical,silver,240000,2005,gasoline,hatchback,1090
358,LADA,110,mechanical,other,12345,1990,gasoline,sedan,400
359,LADA,111,mechanical,other,133000,2000,gasoline,universal,1200
360,LADA,110,mechanical,green,123456,2009,gasoline,sedan,1750
361,LADA,Vesta,mechanical,silver,13000,2018,gasoline,universal,12799
362,LADA,Vesta,automatic,red,8500,2018,gasoline,universal,13700
363,LADA,Priora,mechanical,other,97000,2012,gasoline,universal,4100
364,LADA,Vesta,mechanical,white,0,2019,gasoline,sedan,12500
365,LADA,Vesta,mechanical,white,40000,2017,gasoline,sedan,9900
366,LADA,Vesta,mechanical,red,15000,2018,gasoline,sedan,9000
367,LADA,Vesta,mechanical,silver,35000,2018,gasoline,sedan,10148
368,LADA,4x4,mechanical,blue,25800,1981,gasoline,suv,379
369,LADA,4x4,mechanical,white,60000,1995,gasoline,suv,1300
370,LADA,Vesta,mechanical,orange,63081,2018,gasoline,universal,10860
371,LADA,Vesta,mechanical,orange,47900,2018,gasoline,universal,11239
372,LADA,Vesta,mechanical,silver,40000,2018,gasoline,universal,8773
373,LADA,Vesta,mechanical,white,109000,2017,gasoline,sedan,7999
374,LADA,Vesta,automatic,brown,50000,2017,gasoline,sedan,9500
375,LADA,4x4,mechanical,silver,66480,2006,gasoline,suv,4000
376,LADA,Largus,mechanical,grey,134000,2014,gasoline,universal,6500
377,LADA,Vesta,mechanical,red,26000,2018,gasoline,universal,12415
378,LADA,4x4,mechanical,yellow,20000,1979,gasoline,suv,450
379,LADA,XRAY,mechanical,red,20792,2016,gasoline,hatchback,9300
380,LADA,Vesta,mechanical,brown,22500,2018,gasoline,universal,11974
381,LADA,Vesta,automatic,other,66000,2017,gasoline,sedan,10300
382,LADA,Vesta,mechanical,grey,69000,2017,gasoline,sedan,7500
383,LADA,XRAY,automatic,white,135000,2016,gasoline,hatchback,7500
384,LADA,4x4,mechanical,red,50000,1997,gasoline,pickup,1000
385,LADA,Granta,mechanical,red,125000,2013,gasoline,sedan,4000
386,LADA,Vesta,automatic,other,2300,2018,gasoline,sedan,11300
387,LADA,Largus,mechanical,white,99000,2016,gasoline,universal,8600
388,LADA,Granta,mechanical,white,65000,2017,gasoline,sedan,4500
389,LADA,4x4,mechanical,silver,120000,2010,gasoline,suv,4100
390,LADA,Vesta,mechanical,white,0,2019,gasoline,sedan,12150
